fvs_variant,FOFEM,diam_class,mortality probability for Flame length 6 to 8,FOFEM Equation,DBH,HT,CRNRATIO,crnht,Latin name,,,
WS,PIPO,7,0.06,19,46.2,159.9,54.6,73,,,,
WS,PIPWO,1,0.80,19,3.8,16.7,38.0,10,pinus ponderosa,,washoe pne,
WS,PIPWO,2,0.80,19,7.5,30.4,41.9,18,,,,
WS,PIPWO,3,0.78,19,11.9,46.0,53.3,21,,,,
CA,PISA2,1,1.00,1,1.9,9.5,72.5,3,,,,
CA,PISA2,2,1.00,1,6.5,30.5,48.3,16,,,,
CA,PISA2,3,0.75,1,12.8,58.3,30.0,41,,,,
CA,PISA2,4,0.42,1,19.5,82.3,30.0,58,,,,
CA,PISA2,5,0.29,1,25.8,90.4,37.9,56,,,,
CA,PISA2,6,0.28,1,33.9,92.5,47.5,49,,,,
NC,PISA2,1,1.00,1,2.4,19.0,35.0,12,,,,
NC,PISA2,3,0.99,1,12.9,49.5,70.0,15,,,,
NC,PISA2,4,0.65,1,17.4,71.4,38.1,44,,,,
NC,PISA2,5,0.34,1,27.2,87.0,40.0,52,,,,
NC,PISA2,6,0.09,1,34.2,100.0,32.5,68,,,,
WS,PISA2,2,0.87,1,8.4,57.0,30.0,40,,,,
WS,PISA2,3,0.99,1,14.1,52.0,55.0,23,,,,
WS,PISA2,4,0.63,1,18.7,70.5,28.8,50,,,,
WS,PISA2,5,0.53,1,24.9,74.0,30.0,52,,,,
CA,pisi,2,1.00,3,6.7,31.0,35.0,20,,,,
EC,PISI,1,1.00,3,2.6,20.3,50.0,10,,,,
EC,PISI,4,0.88,3,18.8,97.0,80.0,19,,,,
IE,PISI,2,0.98,3,9,55.0,35,36,,,,
CI,POTR5,1,1.00,4,3,19.1,47,10,,,,
CI,POTR5,2,1.00,4,7,36.0,31,25,,,,
CI,POTR5,3,1.00,4,12,40.8,32,28,,,,
CI,POTR5,4,1.00,4,20,64.0,35,42,,,,
EC,POTR5,1,1.00,4,2.0,22.6,21.9,18,Populus trimuloides,,,
EC,POTR5,2,1.00,4,7.3,51.7,25.5,39,,,,
EC,POTR5,3,1.00,4,11.9,71.1,31.7,49,,,,
EC,POTR5,4,1.00,4,19.0,111.3,28.5,80,,,,
EC,POTR5,5,1.00,4,26.8,98.3,31.5,67,,,,
EM,POTR5,1,1.00,4,2,17.2,45,9,,,,
EM,POTR5,2,1.00,4,7,35.6,32,24,,,,
EM,POTR5,3,1.00,4,11,54.6,28,39,,,,
EM,POTR5,4,1.00,4,18,68.0,20,54,,,,
IE,POTR5,1,1.00,4,2,20.7,37,13,,,,
IE,POTR5,2,1.00,4,7,58.1,33,39,,,,
IE,POTR5,3,1.00,4,12,73.7,34,48,,,,
IE,POTR5,4,1.00,4,17,98.0,41,58,,,,
IE,POTR5,5,1.00,4,26,101.0,55,45,,,,
SO,POTR5,1,1.00,4,2.4,15.1,40.4,9,,,,
SO,POTR5,2,1.00,4,6.9,40.2,46.1,22,,,,
SO,POTR5,3,1.00,4,12.0,56.0,32.5,38,,,,
SO,POTR5,4,1.00,4,17.2,66.0,40.0,40,,,,
SO,POTR5,5,1.00,4,24.0,73.0,30.0,51,,,,
TT,POTR5,1,1.00,4,2,17.3,34,11,,,,
TT,POTR5,2,1.00,4,7,38.7,30,27,,,,
TT,POTR5,3,1.00,4,12,54.7,25,41,,,,
WS,POTR5,1,1.00,4,1.7,12.4,63.7,4,,,,
WS,POTR5,2,1.00,4,7.4,38.0,29.2,27,,,,
WS,POTR5,3,1.00,4,13.3,59.0,34.5,39,,,,
WS,POTR5,4,1.00,4,15.6,61.0,35.0,40,,,,
WS,POTR5,5,1.00,4,23.1,69.0,42.5,40,,,,
CA,PREM,1,1.00,1,2.7,14.1,40.4,8,,,,
CA,PREM,2,1.00,1,5.2,22.0,55.0,10,,,,
EC,PREM,1,1.00,1,1.4,14.9,45.4,8,,,,
IE,PREM,1,1.00,1,2,14.0,5,13,,,,
NC,PREM,1,1.00,1,1.9,33.0,40.0,20,,,,
BM,PSME,1,0.98,20,2.5,16.5,62.9,6,,,,
BM,PSME,2,0.98,20,7.4,40.6,56.8,18,,,,
BM,PSME,3,0.79,20,12.3,61.2,56.2,27,,,,
BM,PSME,4,0.63,20,17.5,78.3,57.7,33,,,,
BM,PSME,5,0.38,20,25.4,97.9,59.5,40,,,,
BM,PSME,6,0.23,20,33.5,114.2,60.7,45,,,,
BM,PSME,7,0.30,20,45.7,123.8,69.6,38,,,,
CA,PSME,1,0.98,20,2.7,21.2,43.9,12,Psuedotsuga menziesii ,,,
CA,PSME,2,0.98,20,7.2,45.7,47.4,24,,,,
CA,PSME,3,0.66,20,12.3,67.9,48.6,35,,,,
CA,PSME,4,0.34,20,17.5,88.4,49.2,45,,,,
CA,PSME,5,0.22,20,25.5,110.9,52.4,53,,,,
CA,PSME,6,0.12,20,34.3,131.0,52.5,62,,,,
CA,PSME,7,0.12,20,47.1,150.6,51.9,72,,,,
CI,PSME,1,0.98,20,3,17.2,55,8,,,,
CI,PSME,2,0.98,20,7,38.3,58,16,,,,
CI,PSME,3,0.87,20,12,57.7,58,24,,,,
CI,PSME,4,0.67,20,17,72.2,61,28,,,,
CI,PSME,5,0.57,20,24,84.0,63,31,,,,
CI,PSME,6,0.34,20,33,99.8,64,36,,,,
CI,PSME,7,0.35,20,40,115.0,65,40,,,,
EC,PSME,1,0.98,20,2.8,19.9,48.9,10,,,,
EC,PSME,2,0.98,20,7.3,44.9,50.3,22,,,,
EC,PSME,3,0.67,20,12.3,66.9,50.8,33,,,,
EC,PSME,4,0.39,20,17.6,85.1,52.8,40,,,,
EC,PSME,5,0.23,20,25.3,104.0,54.6,47,,,,
EC,PSME,6,0.23,20,33.4,115.5,55.9,51,,,,
EC,PSME,7,0.22,20,46.9,127.0,56.1,56,,,,
EM,PSME,1,0.98,20,3,17.8,49,9,,,,
EM,PSME,2,0.98,20,7,34.9,52,17,,,,
EM,PSME,3,0.98,20,12,47.8,56,21,,,,
EM,PSME,4,0.89,20,17,56.3,61,22,,,,
EM,PSME,5,0.70,20,24,68.7,61,27,,,,
EM,PSME,6,0.69,20,33,69.0,55,31,,,,
EM,PSME,7,0.23,20,44,142.0,70,43,,,,
IE,PSME,1,0.98,20,3,20.6,49,10,,,,
IE,PSME,2,0.98,20,7,46.4,49,24,,,,
IE,PSME,3,0.66,20,12,68.5,49,35,,,,
IE,PSME,4,0.39,20,17,85.9,51,42,,,,
IE,PSME,5,0.23,20,24,101.6,55,46,,,,
IE,PSME,6,0.20,20,33,117.9,55,53,,,,
IE,PSME,7,0.12,20,44,137.0,50,69,,,,
NC,PSME,1,0.98,20,2.9,22.9,42.0,13,,,,
NC,PSME,2,0.97,20,7.2,47.4,43.9,27,,,,
NC,PSME,3,0.61,20,12.2,70.9,44.9,39,,,,
NC,PSME,4,0.34,20,17.6,88.3,48.6,45,,,,
NC,PSME,5,0.22,20,25.7,111.5,49.3,57,,,,
NC,PSME,6,0.12,20,34.5,134.0,51.6,65,,,,
NC,PSME,7,0.12,20,48.7,156.5,53.5,73,,,,
SO,PSME,1,0.98,20,2.8,19.1,56.2,8,,,,
SO,PSME,2,0.98,20,7.3,43.7,58.1,18,,,,
SO,PSME,3,0.71,20,12.4,67.6,57.9,28,,,,
SO,PSME,4,0.54,20,17.8,86.3,62.2,33,,,,
SO,PSME,5,0.28,20,25.8,104.1,63.0,39,,,,
SO,PSME,6,0.31,20,34.3,122.7,65.5,42,,,,
SO,PSME,7,0.22,20,48.6,133.0,62.2,50,,,,
TT,PSME,1,0.98,20,3,17.4,65,6,,,,
TT,PSME,2,0.98,20,7,37.7,60,15,,,,
TT,PSME,3,0.89,20,13,56.4,62,21,,,,
TT,PSME,4,0.78,20,17,67.8,65,24,,,,
TT,PSME,5,0.69,20,24,75.2,70,23,,,,
TT,PSME,6,0.65,20,33,80.5,73,21,,,,
WC,PSME,1,0.98,20,2.6,19.9,37.7,12,,,,
WC,PSME,2,0.98,20,7.0,43.6,41.2,26,,,,
WC,PSME,3,0.55,20,11.9,68.4,40.4,41,,,,
WC,PSME,4,0.23,20,17.9,94.8,39.3,58,,,,
WC,PSME,5,0.12,20,25.4,111.0,43.0,63,,,,
WC,PSME,6,0.12,20,34.6,135.9,47.6,71,,,,
WC,PSME,7,0.12,20,50.3,164.4,42.7,94,,,,
WS,PSME,1,0.98,20,2.7,19.7,47.3,10,,,,
WS,PSME,2,0.98,20,7.2,43.5,51.9,21,,,,
WS,PSME,3,0.67,20,12.2,65.9,50.1,33,,,,
WS,PSME,4,0.35,20,17.6,87.6,50.2,44,,,,
WS,PSME,5,0.22,20,25.7,109.3,53.2,51,,,,
WS,PSME,6,0.22,20,33.9,130.2,55.1,59,,,,
WS,PSME,7,0.12,20,48.9,153.6,54.3,70,,,,
CA,QUCHN,1,1.00,1,2.7,16.1,45.1,9,,,,
CA,QUCHN,2,1.00,1,6.9,29.2,43.8,16,,,,
CA,QUCHN,3,1.00,1,11.7,40.4,45.0,22,,,,
CA,QUCHN,4,0.99,1,17.4,52.8,49.3,27,,,,
CA,QUCHN,5,0.75,1,25.5,60.8,43.8,34,,,,
CA,QUCHN,6,0.69,1,32.9,67.8,48.9,35,,,,
CA,QUCHN,7,0.50,1,53.9,68.6,43.8,39,,,,
NC,QUCHN,1,1.00,1,2.6,16.6,46.0,9,,,,
NC,QUCHN,2,1.00,1,6.9,31.3,42.8,18,,,,
NC,QUCHN,3,1.00,1,12.3,42.2,44.0,24,,,,
NC,QUCHN,4,0.96,1,17.9,54.1,44.0,30,,,,
NC,QUCHN,5,0.86,1,25.1,62.8,48.4,32,,,,
NC,QUCHN,6,0.68,1,34.9,66.6,50.7,33,,,,
NC,QUCHN,7,0.47,1,49.3,78.8,51.3,38,,,,
WS,QUCHN,1,1.00,1,2.7,16.1,45.7,9,,,,
WS,QUCHN,2,1.00,1,6.9,31.1,45.5,17,,,,
WS,QUCHN,3,1.00,1,12.1,42.2,46.6,23,,,,
WS,QUCHN,4,0.98,1,17.7,54.9,45.9,30,,,,
WS,QUCHN,5,0.89,1,26.0,56.7,44.6,31,,,,
WS,QUCHN,6,0.76,1,33.4,64.0,51.8,31,,,,
WS,QUCHN,7,0.77,1,45.9,59.0,45.0,32,,,,
CA,QUDO,2,1.00,1,8.2,35.0,45.0,19,,,,
CA,QUDO,3,1.00,1,11.0,41.0,50.0,21,,,,
CA,QUGA4,1,1.00,1,3.4,20.4,34.4,13,,,,
CA,QUGA4,2,1.00,1,6.6,32.1,34.1,21,,,,
CA,QUGA4,2,0.97,1,8.2,32.0,60.0,13,,,,
CA,QUGA4,3,0.99,1,12.2,37.0,41.4,22,,,,
CA,QUGA4,4,0.60,1,17.5,41.3,41.3,24,,,,
CA,QUGA4,5,0.99,1,22.8,47.5,25.0,36,,,,
CA,QUGA4,6,0.97,1,33.6,43.5,25.0,33,,,,
CA,QUGA4,7,0.99,1,48.6,58.0,40.0,35,,,,
EC,QUGA4,1,1.00,1,3.0,18.8,39.1,11,,,,
EC,QUGA4,2,1.00,1,6.8,31.0,35.0,20,,,,
EC,QUGA4,3,1.00,1,12.0,38.5,35.0,25,,,,
EC,QUGA4,4,0.99,1,16.0,39.0,40.0,23,,,,
EC,QUGA4,5,0.99,1,22.8,30.0,60.0,12,,,,
NC,QUGA4,1,1.00,1,3.1,19.0,38.9,12,,,,
NC,QUGA4,2,1.00,1,7.3,37.0,28.4,27,,,,
NC,QUGA4,3,1.00,1,11.7,49.7,37.2,31,,,,
NC,QUGA4,3,0.59,1,14.0,75.5,22.5,59,,,,
NC,QUGA4,4,1.00,1,16.6,69.0,36.3,44,,,,
SO,QUGA4,1,1.00,1,1.8,13.3,30.1,9,,,,
SO,QUGA4,2,1.00,1,6.8,29.2,45.8,16,,,,
SO,QUGA4,3,1.00,1,11.8,34.8,47.5,18,,,,
SO,QUGA4,4,0.99,1,18.4,39.0,30.0,27,,,,
WC,QUGA4,1,1.00,1,3.6,17.6,32.3,12,,,,
WC,QUGA4,2,1.00,1,6.7,27.5,35.8,18,,,,
WC,QUGA4,3,1.00,1,12.0,29.8,42.0,17,,,,
WC,QUGA4,4,0.69,1,20.3,69.0,45.0,38,,,,
WC,QUGA4,5,0.86,1,22.8,42.5,42.5,24,,,,
WS,QUGA4,1,1.00,1,1.4,12.5,35.7,8,,,,
CA,QUKE,1,1.00,1,3.2,22.0,34.8,14,,,,
CA,QUKE,2,1.00,1,7.0,37.2,34.5,24,,,,
CA,QUKE,3,0.98,1,12.1,49.1,36.1,31,,,,
CA,QUKE,4,0.95,1,17.6,56.8,38.4,35,,,,
CA,QUKE,5,0.58,1,26.1,68.5,39.8,41,,,,
CA,QUKE,6,0.49,1,33.2,77.3,40.2,46,,,,
CA,QUKE,7,0.11,1,45.4,93.4,34.0,62,,,,
NC,QUKE,1,1.00,1,3.7,25.2,34.9,16,,,,
NC,QUKE,2,1.00,1,7.4,39.1,32.5,26,,,,
NC,QUKE,3,1.00,1,12.1,56.2,32.2,38,,,,
NC,QUKE,4,0.92,1,17.3,61.2,37.2,38,,,,
NC,QUKE,5,0.58,1,26.1,69.5,40.7,41,,,,
NC,QUKE,6,0.46,1,33.3,78.9,38.2,49,,,,
NC,QUKE,7,0.42,1,46.6,75.5,46.5,40,,,,
SO,QUKE,1,1.00,1,3.1,18.1,44.0,10,,,,
SO,QUKE,2,1.00,1,7.2,36.1,44.6,20,,,,
SO,QUKE,3,0.84,1,12.4,63.0,43.3,36,,,,
SO,QUKE,4,0.68,1,17.3,60.3,29.2,43,,,,
SO,QUKE,5,0.41,1,23.5,88.0,35.0,57,,,,
SO,QUKE,6,0.87,1,33.2,50.0,30.0,35,,,,
WC,QUKE,1,1.00,1,2.8,19.0,27.7,14,,,,
WC,QUKE,2,1.00,1,6.8,34.1,36.5,22,,,,
WC,QUKE,3,1.00,1,12.4,38.7,33.9,26,,,,
WC,QUKE,4,0.95,1,18.1,56.7,20.3,45,,,,
WC,QUKE,6,0.86,1,33.8,55.5,40.0,33,,,,
WS,QUKE,1,1.00,1,3.0,19.7,36.8,12,,,,
WS,QUKE,2,1.00,1,7.5,37.3,37.1,23,,,,
WS,QUKE,3,0.99,1,12.2,52.0,35.9,33,,,,
WS,QUKE,4,0.79,1,17.6,60.0,37.4,38,,,,
WS,QUKE,5,0.59,1,25.2,72.6,37.8,45,,,,
WS,QUKE,6,0.45,1,33.8,79.4,38.2,49,,,,
WS,QUKE,7,0.08,1,45.8,86.7,30.6,60,,,,
CA,QUWI2,1,1.00,1,1.9,12.1,35.2,8,,,,
CA,QUWI2,2,1.00,1,7.2,32.4,35.2,21,,,,
CA,QUWI2,3,0.99,1,11.7,41.0,52.9,19,,,,
NC,QUWI2,1,1.00,1,1.8,12.2,34.7,8,,,,
NC,QUWI2,2,1.00,1,7.2,25.9,43.7,15,,,,
NC,QUWI2,3,1.00,1,11.3,31.5,56.7,14,,,,
NC,QUWI2,4,0.66,1,15.7,73.0,35.0,47,,,,
NC,QUWI2,5,0.58,1,27.1,72.7,46.7,39,,,,
WS,QUWI2,1,1.00,1,2.9,14.8,48.3,8,,,,
WS,QUWI2,2,0.95,1,6.8,31.1,39.3,19,,,,
NC,SEGE3,2,0.99,1,6.6,41.7,40.1,25,,,,
NC,SEGE3,4,0.31,1,17.1,81.1,38.4,50,,,,
NC,SEGE3,6,0.02,1,33.4,118.0,48.7,61,,,,
WS,SEGE3,1,1.00,1,2.4,10.5,99.0,0,,,,
NC,SESE3,1,1.00,1,2.1,21.0,34.3,14,,,,
NC,SESE3,3,0.81,1,11.4,59.5,51.4,29,,,,
NC,SESE3,5,0.06,1,25.7,102.8,52.8,49,,,,
NC,SESE3,7,0.02,1,46.0,131.4,59.9,53,,,,
BM,THPL,1,1.00,1,3.1,14.3,61.5,5,,,,
BM,THPL,2,1.00,1,6.7,22.0,56.4,10,,,,
BM,THPL,3,0.99,1,11.4,19.5,65.0,7,,,,
CA,THPL,1,1.00,1,2.2,12.3,50.7,6,,,,
CA,THPL,2,1.00,1,7.1,26.5,56.6,12,,,,
CA,THPL,3,0.99,1,12.2,41.5,52.8,20,,,,
CA,THPL,4,0.94,1,18.7,50.2,47.2,27,,,,
CA,THPL,5,0.11,1,29.4,147.0,45.0,81,,,,
CA,THPL,6,0.06,1,38.0,141.5,50.0,71,,,,
CA,THPL,7,0.04,1,44.9,102.0,45.0,56,,,,
EC,THPL,1,1.00,1,2.8,17.6,46.0,10,,,,
EC,THPL,2,1.00,1,7.0,40.1,56.2,18,,,,
EC,THPL,3,0.97,1,12.1,61.8,63.5,23,,,,
EC,THPL,4,0.77,1,17.5,77.8,56.7,34,,,,
EC,THPL,5,0.36,1,26.5,102.1,57.8,43,,,,
EC,THPL,6,0.24,1,33.8,116.9,66.8,39,,,,
EC,THPL,7,0.07,1,47.6,138.9,72.1,39,,,,
IE,THPL,1,1.00,1,2,16.4,43,9,,,,
IE,THPL,2,1.00,1,7,41.5,54,19,,,,
IE,THPL,3,0.95,1,12,64.4,58,27,,,,
IE,THPL,4,0.72,1,18,80.2,63,30,,,,
IE,THPL,5,0.44,1,25,96.8,62,37,,,,
IE,THPL,6,0.18,1,34,110.4,57,48,,,,
IE,THPL,7,0.05,1,46,132.9,57,58,,,,
NC,THPL,1,1.00,1,2.9,14.2,51.5,7,,,,
NC,THPL,2,1.00,1,6.7,24.7,66.9,8,,,,
SO,THPL,1,1.00,1,1.8,13.3,65.8,5,,,,
WC,THPL,4,0.99,1,16.1,31.0,75.0,8,,,,
WS,THPL,1,1.00,1,2.5,16.8,37.5,11,,,,
WS,THPL,2,1.00,1,6.9,30.2,42.1,18,,,,
WS,THPL,3,0.99,1,12.1,52.7,45.0,29,,,,
WS,THPL,4,0.66,1,18.7,74.0,50.0,37,,,,
WS,THPL,5,0.82,1,24.7,65.0,55.0,29,,,,
WS,THPL,6,0.69,1,31.1,69.0,55.0,31,,,,
CA,TSHE,1,1.00,1,1.0,10.0,5.0,10,,,,
CA,TSHE,2,1.00,1,7.7,47.1,44.2,26,,,,
CA,TSHE,3,0.65,1,12.5,92.1,50.0,46,,,,
CA,TSHE,4,0.43,1,17.9,86.7,42.7,50,,,,
EC,TSHE,1,1.00,1,3.0,17.1,55.1,8,,,,
EC,TSHE,2,1.00,1,7.1,39.1,54.9,18,,,,
EC,TSHE,3,0.89,1,12.3,70.8,56.9,30,,,,
EC,TSHE,4,0.57,1,17.6,91.7,58.4,38,,,,
EC,TSHE,5,0.24,1,25.3,110.7,60.1,44,,,,
EC,TSHE,6,0.06,1,33.3,126.5,61.5,49,,,,
EC,TSHE,7,0.03,1,47.3,133.4,53.5,62,,,,
IE,TSHE,1,1.00,1,3,19.5,45,11,,,,
IE,TSHE,2,1.00,1,7,49.0,54,23,,,,
IE,TSHE,3,0.83,1,12,76.1,56,34,,,,
IE,TSHE,4,0.46,1,18,93.7,52,45,,,,
IE,TSHE,5,0.14,1,26,110.0,53,52,,,,
IE,TSHE,6,0.06,1,35,128.8,46,69,,,,
NC,TSHE,1,1.00,1,4.6,44.0,20.0,35,,,,
NC,TSHE,2,1.00,1,7.5,58.8,51.3,29,,,,
NC,TSHE,6,0.05,1,39.5,138.0,55.0,62,,,,
SO,TSHE,2,1.00,1,7.2,37.0,56.7,16,,,,
SO,TSHE,3,0.99,1,12.5,52.3,55.0,24,,,,
SO,TSHE,4,0.81,1,18.3,77.0,70.0,23,,,,
SO,TSHE,5,0.44,1,23.3,95.4,64.7,34,,,,
SO,TSHE,6,0.28,1,31.1,109.5,67.5,36,,,,
WC,TSHE,1,1.00,1,2.4,22.0,60.0,9,,,,
WC,TSHE,2,0.97,1,7.6,43.7,54.4,20,,,,
WC,TSHE,3,0.60,1,12.5,74.5,34.5,49,,,,
WC,TSHE,4,0.21,1,18.0,133.0,38.0,82,,,,
BM,TSME,2,0.81,1,7.2,40.3,60.8,16,,,,
BM,TSME,3,0.99,1,12.4,69.1,40.0,41,,,,
BM,TSME,4,0.79,1,16.7,70.3,50.0,35,,,,
CA,TSME,1,1.00,1,1.3,7.0,99.0,0,,,,
CA,TSME,2,1.00,1,9.0,38.5,52.5,18,,,,
CA,TSME,3,0.99,1,14.8,57.0,95.0,3,,,,
CA,TSME,4,0.94,1,19.0,71.0,90.0,7,,,,
CA,TSME,5,0.95,1,21.4,48.0,30.0,34,,,,
CA,TSME,6,0.06,1,34.5,89.0,60.0,36,,,,
EC,TSME,1,1.00,1,2.6,13.4,58.5,6,,,,
EC,TSME,2,1.00,1,7.1,32.7,59.9,13,,,,
EC,TSME,3,0.84,1,12.6,63.4,47.8,33,,,,
EC,TSME,4,0.53,1,17.9,81.5,43.9,46,,,,
EC,TSME,5,0.14,1,25.2,99.8,44.4,56,,,,
EC,TSME,6,0.07,1,31.0,122.2,31.5,84,,,,
IE,TSME,1,1.00,1,4,23.0,80,5,,,,
IE,TSME,2,1.00,1,8,34.5,72,10,,,,
IE,TSME,3,0.99,1,12,35.0,90,4,,,,
IE,TSME,4,0.97,1,19,56.0,90,6,,,,
NC,TSME,1,1.00,1,1.1,5.0,50.0,3,,,,
NC,TSME,2,1.00,1,7.1,26.8,59.2,11,,,,
NC,TSME,3,0.99,1,11.2,36.3,31.7,25,,,,
NC,TSME,4,0.95,1,16.7,66.0,75.0,17,,,,
NC,TSME,6,0.36,1,33.7,81.0,55.0,36,,,,
SO,TSME,1,1.00,1,3.2,15.4,67.4,5,,,,
SO,TSME,2,1.00,1,7.2,36.2,68.7,11,,,,
SO,TSME,3,0.96,1,12.2,62.9,55.1,28,,,,
SO,TSME,4,0.79,1,17.0,72.9,64.6,26,,,,
SO,TSME,5,0.44,1,24.8,92.9,63.9,34,,,,
SO,TSME,6,0.36,1,32.1,100.0,66.7,33,,,,
WC,TSME,3,0.56,1,15.0,91.0,45.0,50,,,,
WC,TSME,4,0.21,1,18.1,100.0,10.0,90,,,,
WC,TSME,5,0.23,1,26.3,110.0,55.0,50,,,,
WC,TSME,6,0.32,1,35.0,140.0,45.0,77,,,,
CA,UMCA,1,1.00,1,2.4,24.0,57.2,10,,,,
CA,UMCA,2,1.00,1,6.0,37.5,52.7,18,,,,
CA,UMCA,3,1.00,1,10.3,32.0,55.0,14,,,,
NC,UMCA,1,1.00,1,2.4,20.1,40.8,12,,,,
NC,UMCA,2,1.00,1,6.9,38.0,44.8,21,,,,
NC,UMCA,3,0.99,1,12.1,54.2,45.8,29,,,,
NC,UMCA,4,0.71,1,17.0,69.5,44.2,39,,,,
NC,UMCA,5,0.81,1,25.7,78.8,65.8,27,,,,
NC,UMCA,6,0.90,1,33.3,68.0,75.0,17,,,,
WS,UMCA,1,1.00,1,1.8,19.0,46.9,10,,,,
WS,UMCA,2,1.00,1,6.6,35.6,49.8,18,,,,
